PROV29;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;x
PROV58;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;Tiohtià:kse Tsi;x
PROV78;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;Si'ahl;x
PROV100;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;Hoozdo;x
PROV102;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;Cuk-Son;x
PROV116;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;x
PROV137;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;Yanaguana;x
PROV162;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;x
PROV176;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;Kitchiwikwedongsing;x
PROV190;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;Kuwanda'talun'yi;x
PROV192;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;Chisha Foka;x
PROV254;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;x
PROV255;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;x
PROV256;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;x
PROV257;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;x
PROV258;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;x
PROV259;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;x
PROV260;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;x
PROV261;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;x
PROV262;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;x
PROV264;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;x
PROV265;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;x
PROV269;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV334;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;x
